,Датування,B-dating_criteria
1573,кута,O
1574,340,O
1575,см,O
1576,Розташування,B-other
1577,Висота,O
1578,від,O
1579,сучасної,O
1580,підлоги,O
1581,84,O
1582,см,O
1583,відстань,O
1584,від,O
1585,лівого,O
1586,кута,O
1587,335,O
1588,см,O
1589,мою,O
1590,думку,O
1591,доцільніше,O
1592,пов'язати,O
1593,текст,O
1594,з,I-object_type
1595,символічним,O
1596,описом,O
1597,подвигу,O
1598,Сорока,O
1599,Се-,O
1600,Розташування,B-other
1601,Висота,O
1602,від,O
1603,сучасної,O
1604,підлоги,O
1605,131,O
1606,см,O
1607,відстань,O
1608,від,O
1609,лівого,O
1610,кута,O
1611,4,O
1612,см,O
1613,добре,O
1614,читаються,O
1615,Розташування,B-other
1616,Висота,O
1617,від,O
1618,сучасної,O
1619,підлоги,O
1620,60,O
1621,см,O
1622,відстань,O
1623,від,O
1624,правого,O
1625,ребра,O
1626,Розташування,B-other
1627,Висота,O
1628,від,O
1629,сучасної,O
1630,підлоги,O
1631,106,O
1632,см,O
1633,відстань,O
1634,від,O
1635,лівого,O
1636,кута,O
1637,84,O
1638,см,O
1639,верхньому,O
1640,рядку,O
1641,збереглись,O
1642,літери,O
1643,,O
1644,та,O
1645,на,I-inscription_type
1646,деякій,O
1647,відстані,O
1648,Ѧ.,O
1649,У,O
1650,середньому,O
1651,рядку,O
1652,Опис,B-inscription
1653,На,O
1654,поверхні,O
1655,стіни,I-object_type
1656,прокреслений,B-decoration
1657,простий,O
1658,чотириконечний,I-decoration
1659,хрест,I-decoration
1660,Категорія,O
1661,Пам'ятний,O
1662,напис,I-inscription_type
1663,Категорія,O
1664,Фрагмент,O
1665,напису,I-preservation_state
1666,Категорія,O
1667,Пам'ятний,O
1668,напис,I-inscription_type
1669,Графіті,B-inscription
1670,№,O
1671,664,O
1672,табл,O
1673,LХХVІІІ,O
1674,2,O
1675,Розташування,B-other
1676,Висота,O
1677,від,O
1678,сучасної,O
1679,підлоги,O
1680,103,O
1681,см,O
1682,відстань,O
1683,від,O
1684,лівого,O
1685,кута,O
1686,Публікації,O
1687,В.,O
1688,Корнієнко178,O
1689,Пилип,O
1690,Коровін,O
1691,таким,O
1692,чином,O
1693,Категорія,O
1694,Молитовний,O
1695,напис,I-inscription_type
1696,мщедатем-лостьбожьѭ----ъ-ѫ----,O
1697,ність,O
1698,в,O
1699,ідентифікації,O
1700,низки,O
1701,літер,O
1702,та,O
1703,їх,O
1704,суттєві,O
1705,пошкодження,O
1706,перешкоджають,O
1707,рекон-,O
1708,Графіті,B-inscription
1709,№,O
1710,4246,O
1711,табл,O
1712,VІІІ,O
1713,2,O
1714,Графіті,B-inscription
1715,№,O
1716,4312,O
1717,табл,O
1718,СV,O
1719,4,O
1720,нійної,O
1721,р,O
1722,з,I-object_type
1723,округлою,O
1724,петлею,O
1725,таким,O
1726,чином,O
1727,На,O
1728,сьогоднішній,O
1729,день,O
1730,це,O
1731,вже,O
1732,другий,O
1733,автограф,O
1734,художника,O
1735,фрескіста,O
1736,який,O
1737,роз-,O
1738,Категорія,O
1739,Молитовний,O
1740,напис,I-inscription_type
1741,Опис,B-inscription
1742,Поверхня,O
1743,стіни,I-object_type
1744,в,O
1745,місці,O
1746,розташування,O
1747,напису,I-preservation_state
1748,сильно,O
1749,пошкоджена,O
1750,подря-,O
1751,Графіті,B-inscription
1752,№,O
1753,682,O
1754,табл,O
1755,LХХХІ,O
1756,3,O
1757,помнгⷭамельѧ,O
1758,Публікації,O
1759,В.,O
1760,Корнієнко111,O
1761,формами,O
1762,написання,O
1763,літер,O
1764,ної,O
1765,з,I-object_type
1766,із,O
1767,переломом,O
1768,та,O
1769,п,O
1770,з,I-object_type
1771,виступом,O
1772,зверху,O
1773,Графіті,B-inscription
1774,№,O
1775,493,O
1776,табл,O
1777,ХХІ,O
1778,4,O
1779,Датування,B-dating_criteria
1780,Друга,O
1781,чверть,O
1782,ХІ,O
1783,кінець,O
1784,ХVІ,O
1785,ст.,O
1786,за,O
1787,формою,O
1788,прорізів,O
1789,Розташування,B-other
1790,Висота,O
1791,від,O
1792,сучасної,O
1793,підлоги,O
1794,34,O
1795,см,O
1796,відстань,O
1797,від,O
1798,лівого,O
1799,кута,O
1800,41,O
1801,см,O
1802,Категорія,O
1803,Фрагмент,O
1804,напису,I-preservation_state
1805,Публікація,O
1806,епіграфічних,O
1807,пам'яток,O
1808,головного,O
1809,вівтаря,O
1810,здійснена,O
1811,у,I-object_type
1812,третій,O
1813,частині,O
1814,Датування,B-dating_criteria
1815,Кінець,O
1816,ХVI,O
1817,кінець,O
1818,XVII,O
1819,ст.,O
1820,за,O
1821,формою,O
1822,прорізів,O
1823,лого,O
1824,хреста,O
1825,табл,O
1826,І,O
1827,Висота,O
1828,від,O
1829,рівня,O
1830,ґрунту,O
1831,118,O
1832,см,O
1833,відстань,O
1834,від,O
1835,лівого,O
1836,кута,O
1837,стіни,I-object_type
1838,Опис,B-inscription
1839,Права,O
1840,частина,I-other
1841,напису,I-preservation_state
1842,закрита,O
1843,кладкою,O
1844,кінця,O
1845,ХІ,O
1846,ст.,O
1847,простежуються,O
1848,Графіті,B-inscription
1849,№,O
1850,568,O
1851,табл,O
1852,LІІІ,O
1853,4,O
1854,тобто,O
1855,a(nno,O
1856,D(omini,O
1857,1,O
1858,року,O
1859,Божого,O
1860,1,O
1861,Альберт,O
1862,почав,O
1863,писати,O
1864,дату,O
1865,свого,O
1866,перебу-,O
1867,вінців,O
1868,мучеників,O
1869,обабіч,O
1870,неї,O
1871,нижче,O
1872,Вивчення,O
1873,стиків,O
1874,фрескової,O
1875,штукатурки,O
1876,так,O
1877,званих,O
1878,боями,O
1879,тому,O
1880,закінчення,O
1881,другого,O
1882,рядка,O
1883,не,O
1884,збереглось,O
1885,Опис,B-inscription
1886,Збереженість,O
1887,напису,I-preservation_state
1888,доволі,O
1889,добра,I-inscription_type
1890,його,O
1891,складові,O
1892,чітко,O
1893,читаються,O
1894,Категорія,O
1895,Абетки,O
1896,склади,O
1897,та,O
1898,окремі,O
1899,літери,O
1900,Графіті,B-inscription
1901,№,O
1902,614,O
1903,табл,O
1904,VІІ,O
1905,1,O
1906,Опис,B-inscription
1907,Поверхня,O
1908,стіни,I-object_type
1909,в,O
1910,місці,O
1911,розташування,O
1912,напису,I-preservation_state
1913,сильно,O
1914,пошкоджена,O
1915,ви-,O
1916,ст͠м҃мчнбъдте,O
1917,|,O
1918,мо-тьб͠,O
1919,м-,O
1920,Графіті,B-inscription
1921,№,O
1922,4324,O
1923,табл,O
1924,СVІІІ,O
1925,2,O
1926,Датування,B-dating_criteria
1927,Друга,O
1928,чверть,O
1929,ХІ,O
1930,кінець,O
1931,ХVІ,O
1932,ст.,O
1933,за,O
1934,формою,O
1935,прорізів,O
1936,Графіті,B-inscription
1937,№,O
1938,719в,O
1939,табл,O
1940,ХСV,O
1941,1,O
1942,носу,O
1943,на,I-inscription_type
1944,голові,O
1945,помітне,O
1946,курчаве,O
1947,волосся,O
1948,лотустого,O
1949,№,O
1950,№,O
1951,4281–4310,O
1952,5,O
1953,на,I-inscription_type
1954,фресці,I-inscription_type
1955,зображенням,I-object_type
1956,орнаменту,O
1957,№,O
1958,4311,O
1959,6,O
1960,на,I-inscription_type
1961,Датування,B-dating_criteria
1962,Кінець,O
1963,ХІ,O
1964,кінець,O
1965,XІV,O
1966,ст.,O
1967,за,O
1968,типологічним,O
1969,методом,O
1970,Графіті,B-inscription
1971,№,O
1972,535,O
1973,табл,O
1974,LХХV,O
1975,4,O
1976,рому,O
1977,личкувальному,O
1978,розчину,O
1979,Графіті,B-inscription
1980,№,O
1981,579,O
1982,табл,O
1983,ІІ,O
1984,2,O
1985,рядку,O
1986,та,O
1987,літера,O
1988,н,O
1989,у,I-object_type
1990,нижньому,O
1991,можливо,O
1992,ініціал,O
1993,або,O
1994,недописане,O
1995,ім'я,O
1996,автора,O
1997,напису,I-preservation_state
1998,Фреска,B-object_type
1999,розташована,O
2000,на,I-inscription_type
2001,південній,O
2002,стіні,I-object_type
2003,хрещальні,I-object_type
2004,сюжет,O
2005,впевнено,O
2006,визнача-,O
2007,Розташування,B-other
2008,Знаходиться,O
2009,на,I-inscription_type
2010,фресковому,O
2011,тиньку,O
2012,фасадної,O
2013,стіни,I-object_type
2014,північної,O
2015,Розташування,B-other
2016,Висота,O
2017,від,O
2018,сучасної,O
2019,підлоги,O
2020,93,O
2021,см,O
2022,відстань,O
2023,від,O
2024,лівого,O
2025,кута,O
2026,316,O
2027,см,O
2028,Опис,B-inscription
2029,Поверхня,O
2030,стіни,I-object_type
2031,в,O
2032,місці,O
2033,розташування,O
2034,напису,I-preservation_state
2035,сильно,O
2036,затерта,O
2037,частина,I-other
2038,його,O
2039,блѫдъ,O
2040,|,O
2041,сътво,O
2042,|,O
2043,рих52ъвъ,O
2044,|,O
2045,свѧтъ,O
2046,|,O
2047,дьн,O
2048,53ь,O
2049,Категорія,O
2050,Молитовний,O
2051,напис,I-inscription_type
2052,донизу,O
2053,и,O
2054,з,I-object_type
2055,горизонтальною,O
2056,перемичкою,O
2057,прямолінійної,O
2058,р,O
2059,з,I-object_type
2060,петлею,O
2061,кутом,O
2062,донизу,O
2063,а,O
2064,хреста,O
2065,кінці,O
2066,якого,O
2067,мали,O
2068,розширення,O
2069,у,I-object_type
2070,вигляді,O
2071,трикутників,O
2072,Датування,B-dating_criteria
2073,Друга,O
2074,чверть,O
2075,ХІ,O
2076,кінець,O
2077,ХVІ,O
2078,ст.,O
2079,за,O
2080,формою,O
2081,прорізів,O
2082,З,O
2083,розбивкою,O
2084,на,I-inscription_type
2085,слова,O
2086,та,O
2087,відновленням,O
2088,втраченого,O
2089,фрагмента,O
2090,текст,O
2091,виглядає,O
2092,Графіті,B-inscription
2093,№,O
2094,312,O
2095,табл,O
2096,LХІ,O
2097,1,O
2098,лерей,O
2099,частині,O
2100,Корпусу,O
2101,логічним,O
2102,буде,O
2103,викладення,O
2104,матеріалу,O
2105,саме,O
2106,звідси,O
2107,розгор-,O
2108,та,O
2109,особливості,O
2110,їх,O
2111,виконання,O
2112,ідентичні,O
2113,тож,O
2114,на,I-inscription_type
2115,фресці,I-inscription_type
2116,автор,O
2117,виконав,O
2118,молитву,O
2119,пом,O
2120,иги,O
2121,|,O
2122,р,O
2123,б,O
2124,свое--,O
2125,Опис,B-inscription
2126,Збереженість,O
2127,напису,I-preservation_state
2128,дуже,O
2129,добра,I-inscription_type
2130,всі,O
2131,його,O
2132,складові,O
2133,чітко,O
2134,читаються,O
2135,як,O
2136,коли,O
2137,колона,I-object_type
2138,вже,O
2139,лежала,O
2140,тобто,O
2141,десь,O
2142,до,O
2143,межі,O
2144,XVII,O
2145,XVIII,O
2146,ст.,O
2147,а,O
2148,одне,O
2149,№,O
2150,4268,O
2151,на-,O
2152,Категорія,O
2153,Абетки,O
2154,склади,O
2155,та,O
2156,окремі,O
2157,літери,O
2158,Датування,B-dating_criteria
2159,Кінець,O
2160,XVІ,O
2161,кінець,O
2162,XVII,O
2163,ст.,O
2164,за,O
2165,скорописними,O
2166,формами,O
2167,написання,O
2168,Графіті,B-inscription
2169,№,O
2170,687,O
2171,табл,O
2172,LХХХІІ,O
2173,2,O
2174,Графіті,B-inscription
2175,№,O
2176,497,O
2177,табл,O
2178,LХІІ,O
2179,1,O
2180,Датування,B-dating_criteria
2181,Друга,O
2182,чверть,O
2183,ХІ,O
2184,кінець,O
2185,XVI,O
2186,ст.,O
2187,за,O
2188,формою,O
2189,прорізів,O
2190,Категорія,O
2191,Молитовний,O
2192,напис,I-inscription_type
2193,нальною,O
2194,перемичкою,O
2195,Датування,B-dating_criteria
2196,Друга,O
2197,чверть,O
2198,XI,O
2199,кінець,O
2200,XVI,O
2201,ст.,O
2202,за,O
2203,формою,O
2204,прорізів,O
2205,Розташування,B-other
2206,Висота,O
2207,від,O
2208,сучасної,O
2209,підлоги,O
2210,129,O
2211,см,O
2212,відстань,O
